作品编号	评委姓名	推荐等级
2022037540	程明远	推荐
2022037540	黄新智	强烈推荐
2022034793	章习武	强烈推荐
2022034793	柳金梅	推荐
2022034793	陆雅	推荐
2022041885	吴和伟	强烈推荐
2022041885	李八通	不推荐
2022041885	陈洁虹	强烈推荐
2022038331	魏巍	强烈推荐
2022038331	刘菊红	推荐
2022038331	韩华静	推荐
2022038044	蒋晶晶	强烈推荐
2022038044	蔡旭	推荐
2022038044	张俐	推荐
2022038982	程红世	强烈推荐
2022038982	牛紫气	推荐
2022038982	王大伟	推荐
2022005391	王维	推荐
2022005391	张飞	强烈推荐
2022005391	潘金莲	推荐
2022033971	蒋晶晶	强烈推荐
2022033971	蔡旭	强烈推荐
2022033971	张俐	不推荐
2022041206	魏巍	推荐
2022041206	刘菊红	推荐
2022041206	韩华静	强烈推荐
2022039883	章习武	强烈推荐
2022039883	柳金梅	不推荐
2022039883	陆雅	推荐
2022005829	刘晓东	推荐
2022005829	李美吉	推荐
2022005829	张鸣	推荐
2022043739	蒋晶晶	推荐
2022043739	蔡旭	推荐
2022043739	张俐	推荐
2022002460	吴和伟	推荐
2022002460	李八通	不推荐
2022002460	陈洁虹	强烈推荐
2022006231	刘晓东	推荐
2022006231	李美吉	强烈推荐
2022006231	张鸣	不推荐
2022043983	魏巍	不推荐
2022043983	刘菊红	强烈推荐
2022043983	韩华静	推荐
2022043930	程红世	推荐
2022043930	牛紫气	推荐
2022043930	王大伟	推荐
2022041253	蒋晶晶	推荐
2022041253	蔡旭	推荐
2022041253	张俐	推荐
2022041494	曹超	推荐
2022041494	鲁智仁	不推荐
2022041494	魏青云	强烈推荐
2022005377	夏鸿声	强烈推荐
2022005377	许娟娟	推荐
2022005377	唐仁轨	不推荐
2022044137	夏鸿声	不推荐
2022044137	许娟娟	强烈推荐
2022044137	唐仁轨	推荐
2022038271	蒋晶晶	推荐
2022038271	蔡旭	推荐
2022038271	张俐	推荐
2022044212	程红世	推荐
2022044212	牛紫气	推荐
2022044212	王大伟	推荐
2022005295	章力	推荐
2022005295	刘明智	推荐
2022005295	陈莞尔	推荐
2022006385	章力	推荐
2022006385	刘明智	推荐
2022006385	陈莞尔	推荐
2022005317	吴和伟	不推荐
2022005317	李八通	推荐
2022005317	陈洁虹	强烈推荐
2022045875	蒋晶晶	不推荐
2022045875	蔡旭	强烈推荐
2022045875	张俐	推荐
2022005264	姚娜	推荐
2022005264	高铁塔	推荐
2022005264	王文文	推荐
2022038060	蒋晶晶	强烈推荐
2022038060	蔡旭	不推荐
2022038060	张俐	推荐
2022043693	程红世	推荐
2022043693	牛紫气	推荐
2022043693	王大伟	推荐
2022037936	魏巍	推荐
2022037936	刘菊红	推荐
2022037936	韩华静	推荐
2022037057	夏鸿声	推荐
2022037057	许娟娟	强烈推荐
2022037057	唐仁轨	不推荐
2022037451	蒋晶晶	不推荐
2022037451	蔡旭	推荐
2022037451	张俐	强烈推荐
2022043596	夏鸿声	不推荐
2022043596	唐仁轨	推荐
2022043596	许娟娟	强烈推荐
2022037563	郑永健	推荐
2022037563	张岸	推荐
2022037563	熊莹莹	推荐
2022037493	魏巍	推荐
2022037493	刘菊红	推荐
2022037493	韩华静	推荐
2022042735	章习武	推荐
2022042735	柳金梅	强烈推荐
2022042735	陆雅	不推荐
2022004994	章力	推荐
2022004994	刘明智	推荐
2022004994	陈莞尔	推荐
2022007333	吴和伟	推荐
2022007333	李八通	不推荐
2022007333	陈洁虹	强烈推荐
2022042759	章习武	强烈推荐
2022042759	柳金梅	不推荐
2022042759	陆雅	推荐
2022037427	魏巍	推荐
2022037427	刘菊红	不推荐
2022037427	韩华静	强烈推荐
2022043595	夏鸿声	推荐
2022043595	唐仁轨	推荐
2022043595	许娟娟	推荐
2022037379	蒋晶晶	推荐
2022037379	蔡旭	强烈推荐
2022037379	张俐	不推荐
2022042875	郑永健	不推荐
2022042875	张岸	推荐
2022042875	熊莹莹	强烈推荐
2022040442	魏巍	推荐
2022040442	刘菊红	强烈推荐
2022040442	韩华静	不推荐
2022042810	姚娜	推荐
2022042810	高铁塔	强烈推荐
2022042810	王文文	不推荐
2022010865	章习武	推荐
2022010865	柳金梅	强烈推荐
2022010865	陆雅	不推荐
2022043462	夏鸿声	推荐
2022043462	许娟娟	强烈推荐
2022043462	唐仁轨	不推荐
2022036797	章习武	推荐
2022036797	柳金梅	强烈推荐
2022036797	陆雅	不推荐
2022010712	曹超	推荐
2022010712	鲁智仁	推荐
2022010712	魏青云	推荐
2022007482	郑永健	推荐
2022007482	张岸	推荐
2022007482	熊莹莹	推荐
2022036379	刘晓东	推荐
2022036379	李美吉	推荐
2022036379	张鸣	推荐
2022027325	吴和伟	不推荐
2022027325	李八通	强烈推荐
2022027325	陈洁虹	推荐
2022012508	曹超	推荐
2022012508	鲁智仁	推荐
2022012508	魏青云	推荐
2022035745	章力	推荐
2022035745	刘明智	推荐
2022035745	陈莞尔	推荐
2022035596	刘晓东	推荐
2022035596	李美吉	推荐
2022035596	张鸣	推荐
2022007673	曹超	推荐
2022007673	鲁智仁	不推荐
2022007673	魏青云	强烈推荐
2022011629	郑永健	推荐
2022011629	张岸	推荐
2022011629	熊莹莹	推荐
2022011541	章习武	强烈推荐
2022011541	柳金梅	推荐
2022011541	陆雅	不推荐
2022034999	吴和伟	推荐
2022034999	李八通	不推荐
2022034999	陈洁虹	强烈推荐
2022013031	程红世	强烈推荐
2022013031	牛紫气	不推荐
2022013031	王大伟	推荐
2022015610	王晓黎	推荐
2022015610	程明远	推荐
2022015610	黄新智	推荐
2022013248	魏巍	不推荐
2022013248	刘菊红	推荐
2022013248	韩华静	强烈推荐
2022016265	章习武	推荐
2022016265	柳金梅	推荐
2022016265	陆雅	推荐
2022019934	刘晓东	推荐
2022019934	李美吉	不推荐
2022019934	张鸣	强烈推荐
2022014534	蒋晶晶	推荐
2022014534	蔡旭	推荐
2022014534	张俐	推荐
2022010097	吴和伟	推荐
2022010097	李八通	强烈推荐
2022010097	陈洁虹	不推荐
2022020668	魏巍	强烈推荐
2022020668	刘菊红	推荐
2022020668	韩华静	不推荐
2022020468	魏巍	推荐
2022020468	刘菊红	推荐
2022020468	韩华静	推荐
2022009981	郑永健	推荐
2022009981	张岸	推荐
2022009981	熊莹莹	推荐
2022021822	吴和伟	推荐
2022021822	李八通	强烈推荐
2022021822	陈洁虹	不推荐
2022009928	吴和伟	不推荐
2022009928	李八通	强烈推荐
2022009928	陈洁虹	推荐
2022021682	曹超	推荐
2022021682	鲁智仁	推荐
2022021682	魏青云	推荐
2022023017	王维	强烈推荐
2022023017	张飞	推荐
2022023017	潘金莲	不推荐
2022027458	夏鸿声	推荐
2022027458	许娟娟	不推荐
2022027458	唐仁轨	强烈推荐
2022023915	刘晓东	不推荐
2022023915	李美吉	强烈推荐
2022023915	张鸣	推荐
2022023637	曹超	推荐
2022023637	鲁智仁	不推荐
2022023637	魏青云	强烈推荐
2022032470	王晓黎	推荐
2022032470	程明远	推荐
2022032470	黄新智	推荐
2022030692	王晓黎	推荐
2022030692	程明远	强烈推荐
2022030692	黄新智	不推荐
2022009413	吴和伟	不推荐
2022009413	李八通	强烈推荐
2022009413	陈洁虹	推荐
2022023021	姚娜	推荐
2022023021	高铁塔	不推荐
2022023021	王文文	强烈推荐
2022000207	章习武	推荐
2022000207	柳金梅	推荐
2022000207	陆雅	推荐
2022024141	刘晓东	推荐
2022024141	李美吉	推荐
2022024141	张鸣	推荐
2022031019	程红世	推荐
2022031019	牛紫气	推荐
2022031019	王大伟	推荐
2022026457	蒋晶晶	推荐
2022026457	蔡旭	推荐
2022026457	张俐	推荐
2022030163	程红世	推荐
2022030163	牛紫气	推荐
2022030163	王大伟	推荐
2022026898	郑永健	推荐
2022026898	张岸	强烈推荐
2022026898	熊莹莹	不推荐
2022028866	姚娜	推荐
2022028866	高铁塔	推荐
2022028866	王文文	推荐
2022024705	王晓黎	推荐
2022024705	程明远	推荐
2022024705	黄新智	推荐
2022029529	蒋晶晶	推荐
2022029529	蔡旭	强烈推荐
2022029529	张俐	不推荐
2022029550	刘晓东	不推荐
2022029550	李美吉	推荐
2022029550	张鸣	强烈推荐
2022009405	姚娜	推荐
2022009405	高铁塔	不推荐
2022009405	王文文	推荐
2022009371	章力	推荐
2022009371	刘明智	推荐
2022009371	陈莞尔	不推荐
2022004897	刘晓东	不推荐
2022004897	李美吉	不推荐
2022004897	张鸣	强烈推荐
2022004917	曹超	不推荐
2022004917	鲁智仁	强烈推荐
2022004917	魏青云	不推荐
2022005262	章习武	推荐
2022005262	柳金梅	不推荐
2022005262	陆雅	推荐
2022005140	刘晓东	不推荐
2022005140	李美吉	推荐
2022005140	张鸣	推荐
2022004309	王维	推荐
2022004309	张飞	不推荐
2022004309	潘金莲	推荐
2022009059	程红世	推荐
2022009059	牛紫气	不推荐
2022009059	王大伟	推荐
2022009020	章习武	推荐
2022009020	柳金梅	不推荐
2022009020	陆雅	推荐
2022005136	章力	不推荐
2022005136	刘明智	推荐
2022005136	陈莞尔	推荐
2022005114	刘晓东	推荐
2022005114	李美吉	不推荐
2022005114	张鸣	推荐
2022008789	王晓黎	推荐
2022008789	程明远	推荐
2022008789	黄新智	不推荐
2022008847	章习武	不推荐
2022008847	柳金梅	推荐
2022008847	陆雅	推荐
2022004215	程红世	推荐
2022004215	牛紫气	不推荐
2022004215	王大伟	推荐
2022000319	曹超	推荐
2022000319	鲁智仁	推荐
2022000319	魏青云	不推荐
2022004187	郑永健	推荐
2022004187	张岸	推荐
2022004187	熊莹莹	不推荐
2022001997	曹超	不推荐
2022001997	鲁智仁	推荐
2022001997	魏青云	推荐
2022009949	刘晓东	推荐
2022009949	李美吉	不推荐
2022009949	张鸣	推荐
2022008744	章力	推荐
2022008744	刘明智	推荐
2022008744	陈莞尔	不推荐
2022000451	章力	不推荐
2022000451	刘明智	推荐
2022000451	陈莞尔	推荐
2022005214	曹超	不推荐
2022005214	鲁智仁	推荐
2022005214	魏青云	推荐
2022001183	曹超	不推荐
2022001183	鲁智仁	推荐
2022001183	魏青云	推荐
2022005409	刘晓东	不推荐
2022005409	李美吉	不推荐
2022005409	张鸣	强烈推荐
2022008446	曹超	推荐
2022008446	鲁智仁	不推荐
2022008446	魏青云	推荐
2022005359	王晓黎	不推荐
2022005359	程明远	推荐
2022005359	黄新智	推荐
2022008230	刘晓东	不推荐
2022008230	李美吉	强烈推荐
2022008230	张鸣	不推荐
2022005651	刘晓东	不推荐
2022005651	李美吉	强烈推荐
2022005651	张鸣	不推荐
2022010215	章习武	推荐
2022010215	柳金梅	不推荐
2022010215	陆雅	推荐
2022008418	程红世	推荐
2022008418	牛紫气	不推荐
2022008418	王大伟	推荐
2022007958	章力	不推荐
2022007958	刘明智	推荐
2022007958	陈莞尔	推荐
2022005797	章力	不推荐
2022005797	刘明智	推荐
2022005797	陈莞尔	推荐
2022007113	曹超	不推荐
2022007113	鲁智仁	不推荐
2022007113	魏青云	强烈推荐
2022006329	姚娜	推荐
2022006329	高铁塔	不推荐
2022006329	王文文	推荐
2022007295	章习武	不推荐
2022007295	柳金梅	不推荐
2022007295	陆雅	强烈推荐
2022007383	章力	推荐
2022007383	刘明智	推荐
2022007383	陈莞尔	不推荐
2022000450	吴和伟	不推荐
2022000450	李八通	推荐
2022000450	陈洁虹	推荐
2022007287	刘晓东	不推荐
2022007287	李美吉	推荐
2022007287	张鸣	推荐
2022010358	刘晓东	推荐
2022010358	李美吉	推荐
2022010358	张鸣	不推荐
2022007642	王维	推荐
2022007642	张飞	推荐
2022007642	潘金莲	不推荐
2022009180	程红世	推荐
2022009180	牛紫气	推荐
2022009180	王大伟	不推荐
2022009224	吴和伟	推荐
2022009224	李八通	不推荐
2022009224	陈洁虹	推荐
2022010595	吴和伟	推荐
2022010595	李八通	不推荐
2022010595	陈洁虹	推荐
2022009266	王维	不推荐
2022009266	张飞	强烈推荐
2022009266	潘金莲	不推荐
2022007442	刘晓东	推荐
2022007442	李美吉	不推荐
2022007442	张鸣	推荐
2022007620	王维	不推荐
2022007620	张飞	推荐
2022007620	潘金莲	推荐
2022010737	吴和伟	推荐
2022010737	李八通	不推荐
2022010737	陈洁虹	推荐
2022047827	曹超	推荐
2022047827	鲁智仁	不推荐
2022047827	魏青云	推荐
2022000131	王晓黎	推荐
2022000131	程明远	推荐
2022000131	黄新智	不推荐
2022025132	郑永健	推荐
2022025132	张岸	不推荐
2022025132	熊莹莹	推荐
2022044402	姚娜	不推荐
2022044402	高铁塔	推荐
2022044402	王文文	推荐
2022011260	郑永健	不推荐
2022011260	张岸	推荐
2022011260	熊莹莹	推荐
2022044107	刘晓东	不推荐
2022044107	李美吉	推荐
2022044107	张鸣	推荐
2022024789	章力	推荐
2022024789	刘明智	不推荐
2022024789	陈莞尔	推荐
2022024270	夏鸿声	推荐
2022024270	许娟娟	推荐
2022024270	唐仁轨	不推荐
2022011354	蒋晶晶	推荐
2022011354	蔡旭	推荐
2022011354	张俐	不推荐
2022037399	章力	推荐
2022037399	刘明智	不推荐
2022037399	陈莞尔	推荐
2022037503	郑永健	强烈推荐
2022037503	张岸	不推荐
2022037503	熊莹莹	不推荐
2022043980	吴和伟	不推荐
2022043980	李八通	强烈推荐
2022043980	陈洁虹	不推荐
2022026547	蒋晶晶	不推荐
2022026547	蔡旭	推荐
2022026547	张俐	推荐
2022043836	牛紫气	推荐
2022043836	王大伟	不推荐
2022043836	程红世	推荐
2022043882	吴和伟	推荐
2022043882	李八通	不推荐
2022043882	陈洁虹	推荐
2022043775	刘晓东	不推荐
2022043775	李美吉	强烈推荐
2022043775	张鸣	不推荐
2022043956	夏鸿声	推荐
2022043956	许娟娟	推荐
2022043956	唐仁轨	不推荐
2022024214	王晓黎	不推荐
2022024214	程明远	不推荐
2022024214	黄新智	强烈推荐
2022016118	王晓黎	推荐
2022016118	程明远	不推荐
2022016118	黄新智	推荐
2022012262	郑永健	不推荐
2022012262	张岸	推荐
2022012262	熊莹莹	推荐
2022043967	魏巍	推荐
2022043967	刘菊红	不推荐
2022043967	韩华静	推荐
2022027308	刘晓东	推荐
2022027308	李美吉	推荐
2022027308	张鸣	不推荐
2022027922	刘晓东	推荐
2022027922	李美吉	推荐
2022027922	张鸣	不推荐
2022028950	蒋晶晶	推荐
2022028950	蔡旭	推荐
2022028950	张俐	不推荐
2022043233	姚娜	推荐
2022043233	高铁塔	不推荐
2022043233	王文文	推荐
2022043293	程红世	推荐
2022043293	牛紫气	推荐
2022043293	王大伟	不推荐
2022043170	魏巍	不推荐
2022043170	刘菊红	推荐
2022043170	韩华静	推荐
2022045268	夏鸿声	强烈推荐
2022045268	许娟娟	不推荐
2022045268	唐仁轨	不推荐
2022029720	章力	不推荐
2022029720	刘明智	推荐
2022029720	陈莞尔	推荐
2022044842	魏巍	推荐
2022044842	刘菊红	推荐
2022044842	韩华静	不推荐
2022043116	夏鸿声	推荐
2022043116	许娟娟	推荐
2022043116	唐仁轨	不推荐
2022012843	章习武	不推荐
2022012843	柳金梅	推荐
2022012843	陆雅	推荐
2022012780	章力	不推荐
2022012780	刘明智	推荐
2022012780	陈莞尔	推荐
2022043119	魏巍	不推荐
2022043119	刘菊红	推荐
2022043119	韩华静	推荐
2022045452	吴和伟	不推荐
2022045452	李八通	强烈推荐
2022045452	陈洁虹	不推荐
2022043102	曹超	推荐
2022043102	鲁智仁	推荐
2022043102	魏青云	不推荐
2022043547	章习武	不推荐
2022043547	柳金梅	推荐
2022043547	陆雅	推荐
2022023056	刘晓东	不推荐
2022023056	李美吉	推荐
2022023056	张鸣	推荐
2022043036	夏鸿声	不推荐
2022043036	许娟娟	强烈推荐
2022043036	唐仁轨	不推荐
2022037370	蒋晶晶	不推荐
2022037370	蔡旭	推荐
2022037370	张俐	推荐
2022037376	蒋晶晶	不推荐
2022037376	蔡旭	不推荐
2022037376	张俐	强烈推荐
2022013313	夏鸿声	不推荐
2022013313	许娟娟	推荐
2022013313	唐仁轨	推荐
2022042989	程红世	推荐
2022042989	牛紫气	推荐
2022042989	王大伟	不推荐
2022043030	姚娜	不推荐
2022043030	高铁塔	推荐
2022043030	王文文	推荐
2022037137	曹超	推荐
2022037137	鲁智仁	不推荐
2022037137	魏青云	推荐
2022016763	王维	不推荐
2022016763	张飞	推荐
2022016763	潘金莲	推荐
2022042774	魏巍	推荐
2022042774	刘菊红	推荐
2022042774	韩华静	不推荐
2022042765	吴和伟	不推荐
2022042765	李八通	强烈推荐
2022042765	陈洁虹	不推荐
2022013586	蒋晶晶	不推荐
2022013586	蔡旭	推荐
2022013586	张俐	推荐
2022042874	姚娜	推荐
2022042874	高铁塔	不推荐
2022042874	王文文	推荐
2022013457	程红世	不推荐
2022013457	牛紫气	推荐
2022013457	王大伟	推荐
2022042752	吴和伟	推荐
2022042752	李八通	推荐
2022042752	陈洁虹	不推荐
2022030277	姚娜	推荐
2022030277	高铁塔	不推荐
2022030277	王文文	推荐
2022037096	王晓黎	推荐
2022037096	程明远	推荐
2022037096	黄新智	不推荐
2022036896	吴和伟	推荐
2022036896	李八通	推荐
2022036896	陈洁虹	不推荐
2022022549	章力	不推荐
2022022549	刘明智	推荐
2022022549	陈莞尔	推荐
2022042499	郑永健	推荐
2022042499	张岸	推荐
2022042499	熊莹莹	不推荐
2022032183	蒋晶晶	推荐
2022032183	蔡旭	推荐
2022032183	张俐	不推荐
2022030487	蒋晶晶	推荐
2022030487	蔡旭	推荐
2022030487	张俐	不推荐
2022040869	王晓黎	推荐
2022040869	程明远	推荐
2022040869	黄新智	不推荐
2022014046	章习武	不推荐
2022014046	柳金梅	不推荐
2022014046	陆雅	强烈推荐
2022042621	魏巍	推荐
2022042621	刘菊红	不推荐
2022042621	韩华静	推荐
2022022176	魏巍	不推荐
2022022176	刘菊红	强烈推荐
2022022176	韩华静	不推荐
2022022036	郑永健	推荐
2022022036	张岸	推荐
2022022036	熊莹莹	不推荐
2022041890	曹超	不推荐
2022041890	鲁智仁	推荐
2022041890	魏青云	推荐
2022046596	魏巍	强烈推荐
2022046596	刘菊红	不推荐
2022046596	韩华静	不推荐
2022032781	程红世	不推荐
2022032781	牛紫气	推荐
2022032781	王大伟	推荐
2022040517	吴和伟	强烈推荐
2022040517	李八通	不推荐
2022040517	陈洁虹	不推荐
2022040619	章力	不推荐
2022040619	刘明智	推荐
2022040619	陈莞尔	推荐
2022014358	吴和伟	不推荐
2022014358	李八通	推荐
2022014358	陈洁虹	推荐
2022032347	夏鸿声	推荐
2022032347	许娟娟	不推荐
2022032347	唐仁轨	推荐
2022040847	蒋晶晶	强烈推荐
2022040847	蔡旭	不推荐
2022040847	张俐	不推荐
2022034055	章力	推荐
2022034055	刘明智	不推荐
2022034055	陈莞尔	推荐
2022038249	蒋晶晶	不推荐
2022038249	蔡旭	推荐
2022038249	张俐	推荐
2022045917	王维	强烈推荐
2022045917	张飞	不推荐
2022045917	潘金莲	不推荐
2022037632	郑永健	推荐
2022037632	张岸	不推荐
2022037632	熊莹莹	推荐
2022038817	王晓黎	推荐
2022038817	程明远	不推荐
2022038817	黄新智	推荐
2022040168	郑永健	不推荐
2022040168	张岸	不推荐
2022040168	熊莹莹	强烈推荐
2022047312	魏巍	推荐
2022047312	刘菊红	不推荐
2022047312	韩华静	推荐
2022036850	王晓黎	推荐
2022036850	程明远	不推荐
2022036850	黄新智	推荐
2022036834	郑永健	推荐
2022036834	张岸	不推荐
2022036834	熊莹莹	推荐
2022015538	程红世	不推荐
2022015538	牛紫气	推荐
2022015538	王大伟	推荐
2022015527	郑永健	不推荐
2022015527	张岸	推荐
2022015527	熊莹莹	推荐
2022015547	章力	不推荐
2022015547	刘明智	推荐
2022015547	陈莞尔	推荐
2022015523	王维	不推荐
2022015523	张飞	不推荐
2022015523	潘金莲	强烈推荐
2022021076	魏巍	强烈推荐
2022021076	刘菊红	不推荐
2022021076	韩华静	不推荐
2022015203	姚娜	推荐
2022015203	高铁塔	推荐
2022015203	王文文	不推荐
2022025486	王维	不推荐
2022025486	张飞	推荐
2022025486	潘金莲	推荐
2022037534	章力	推荐
2022037534	刘明智	不推荐
2022037534	陈莞尔	推荐
2022036804	蒋晶晶	推荐
2022036804	蔡旭	推荐
2022036804	张俐	不推荐
2022034866	郑永健	推荐
2022034866	张岸	推荐
2022034866	熊莹莹	不推荐
2022015564	曹超	推荐
2022015564	鲁智仁	推荐
2022015564	魏青云	不推荐
2022036800	曹超	推荐
2022036800	鲁智仁	推荐
2022036800	魏青云	不推荐
2022043365	王晓黎	不推荐
2022043365	程明远	强烈推荐
2022043365	黄新智	不推荐
2022035307	刘晓东	推荐
2022035307	李美吉	不推荐
2022035307	张鸣	推荐
2022024025	章力	推荐
2022024025	刘明智	推荐
2022024025	陈莞尔	不推荐
2022016184	夏鸿声	推荐
2022016184	许娟娟	不推荐
2022016184	唐仁轨	推荐
2022020783	章力	推荐
2022020783	刘明智	推荐
2022020783	陈莞尔	不推荐
2022029686	夏鸿声	推荐
2022029686	许娟娟	不推荐
2022029686	唐仁轨	推荐
2022023029	章力	推荐
2022023029	刘明智	不推荐
2022023029	陈莞尔	推荐
2022012738	王晓黎	不推荐
2022012738	程明远	不推荐
2022012738	黄新智	强烈推荐
2022020557	章习武	不推荐
2022020557	柳金梅	推荐
2022020557	陆雅	推荐
2022021931	王维	不推荐
2022021931	张飞	推荐
2022021931	潘金莲	推荐
2022031069	章习武	推荐
2022031069	柳金梅	推荐
2022031069	陆雅	不推荐
2022020559	王晓黎	不推荐
2022020559	程明远	推荐
2022020559	黄新智	推荐
2022035475	程红世	不推荐
2022035475	牛紫气	推荐
2022035475	王大伟	推荐
2022039588	郑永健	推荐
2022039588	张岸	不推荐
2022039588	熊莹莹	推荐
2022018871	魏巍	不推荐
2022018871	刘菊红	强烈推荐
2022018871	韩华静	不推荐
2022018563	王维	推荐
2022018563	张飞	推荐
2022018563	潘金莲	不推荐
2022035732	蒋晶晶	推荐
2022035732	蔡旭	推荐
2022035732	张俐	不推荐
2022036072	刘晓东	推荐
2022036072	李美吉	推荐
2022036072	张鸣	不推荐
2022035834	章习武	不推荐
2022035834	柳金梅	强烈推荐
2022035834	陆雅	不推荐
2022034456	蒋晶晶	不推荐
2022034456	蔡旭	不推荐
2022034456	张俐	强烈推荐
2022036552	程红世	推荐
2022036552	牛紫气	推荐
2022036552	王大伟	不推荐
2022033454	王维	不推荐
2022033454	张飞	推荐
2022033454	潘金莲	推荐
2022036606	郑永健	不推荐
2022036606	张岸	推荐
2022036606	熊莹莹	推荐
2022044338	魏巍	不推荐
2022044338	刘菊红	推荐
2022044338	韩华静	推荐
2022042904	章习武	不推荐
2022042904	柳金梅	强烈推荐
2022042904	陆雅	不推荐
2022021073	郑永健	推荐
2022021073	张岸	不推荐
2022021073	熊莹莹	推荐
2022037619	魏巍	不推荐
2022037619	刘菊红	推荐
2022037619	韩华静	推荐
2022020190	郑永健	不推荐
2022020190	张岸	推荐
2022020190	熊莹莹	不推荐
2022020103	郑永健	不推荐
2022020103	张岸	推荐
2022020103	熊莹莹	不推荐
2022020475	吴和伟	不推荐
2022020475	李八通	推荐
2022020475	陈洁虹	不推荐
2022020303	郑永健	不推荐
2022020303	张岸	不推荐
2022020303	熊莹莹	推荐
2022019703	刘晓东	推荐
2022019703	李美吉	不推荐
2022019703	张鸣	不推荐
2022014428	曹超	推荐
2022014428	鲁智仁	不推荐
2022014428	魏青云	不推荐
2022017677	章力	不推荐
2022017677	刘明智	不推荐
